ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_B_Coe_Something_Lethal_Something_Lethal_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1544,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_Ghost_Machines_Live_Free_Live_Free_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1529,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_Godmode_Action_Action_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1953,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_ikoliks_GameChanger_InTheDark,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1499,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_Lucha_Demons_Demons_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1947,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_Lucha_Hypnotised_Hypnotised_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1971,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_SLPSTRM_GiantsWereHere_RoadsideRodeo_Sander_Kalmeijer,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1571,None
0,/Edison/Events/BasketballJan24/Audio/Music/A_ED_Basketball_TheKids_FightMusic_Meditation_Inst,/Script/Engine.SoundWave,Soft: Possibly Unassigned Asset,1514,None
0,/Edison/Events/BasketballJan24/Audio/Music/DT_BBall_Audio_Music,/Script/Engine.DataTable,Soft: Possibly Unassigned Asset,4699,None
0,/Edison/Events/BasketballJan24/Gameplay/BP_BBall_JumpPad,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,8618,None
0,/Edison/Events/BasketballJan24/Gameplay/BP_BBall_JumpPad,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,8618,None
0,/Edison/Events/BasketballJan24/Gameplay/BPM_RotatingShootingPlatform,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,8252,None
0,/Edison/Events/BasketballJan24/Gameplay/BPM_RotatingShootingPlatform,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,8252,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BP_HoopMaterialProvider,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,11702,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BP_HoopMaterialProvider,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,11702,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BPM_BBall_Hoop,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,106130,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BPM_BBall_Hoop,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,106130,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BPM_BBall_Hoop_OnlyBackboard,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,9223,None
0,/Edison/Events/BasketballJan24/Gameplay/Hoops/BPM_BBall_Hoop_OnlyBackboard,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,9223,None
0,/Edison/Events/BasketballJan24/GameState/BPMC_GameStateNode_BasketballPractice,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,11437,None
0,/Edison/Events/BasketballJan24/GameState/BPMC_GameStateNode_BasketballPractice,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,11437,None
0,/Edison/Events/BasketballJan24/SM_BasketballBouncePadsRim,/Script/Engine.StaticMesh,Soft: Possibly Unassigned Asset,20848,None
0,/Edison/FeatureSets/DeterministicMotion/BPC_RotatorMovement,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,12623,None
0,/Edison/FeatureSets/DeterministicMotion/BPC_RotatorMovement,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,12623,None
0,/Edison/FeatureSets/DeterministicMotion/BPI_FloatDeterministicBehavior,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,2421,None
0,/Edison/FeatureSets/DeterministicMotion/BPI_FloatDeterministicBehavior,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,2421,None
0,/Edison/FeatureSets/DeterministicMotion/BPM_SimpleRotator,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,34709,None
0,/Edison/FeatureSets/DeterministicMotion/BPM_SimpleRotator,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,34709,None
0,/M2Core/JunoInteraction/ControlPanel/WidgetProviders/BP_M2_WidgetProvider_Trigger,/Script/Engine.Blueprint,Soft: Possibly Unassigned Asset,3584,None
0,/M2Core/JunoInteraction/ControlPanel/WidgetProviders/BP_M2_WidgetProvider_Trigger,/Script/Engine.BlueprintGeneratedClass,Soft: Possibly Unassigned Asset,3584,None
